2012 rank,City,State,2012 estimate,2010 Census,Change,2010 land area,2010 population density,Location,img_url
15,Columbus,OH,"8,09,798","7,87,033",2.89%,217.169_sq_mi,"3,624_per_sq_mi",39.9848康 82.9850晃,http://www.usanova.com/wp-content/uploads/2014/08/Columbus-OH-Skyline.jpg
,,,,,,562.466_km2,"1,399_km-2",,
17,Charlotte,NC,"7,75,202","7,31,424",5.99%,297.678_sq_mi,"2,457_per_sq_mi",35.2087康 80.8307晃,https://upload.wikimedia.org/wikipedia/commons/0/0a/Charlotte_Skyline_2011_-_Ricky_W.jpg
,,,,,,770.984_km2,949_km-2,,
18,Detroit,MI,"7,01,475","7,13,777",?1.72%,138.750_sq_mi,"5,144_per_sq_mi",42.3830康 83.1022晃,http://i.huffpost.com/gen/1731420/images/o-DETROIT-SKYLINE-facebook.jpg
,,,,,,359.362_km2,"1,986_km-2",,
19,El Paso,TX,"6,72,538","6,49,121",3.61%,255.235_sq_mi,"2,543_per_sq_mi",31.8484康 106.4270晃,http://stayinelpaso.com/images/el-paso-skyline.jpg
,,,,,,661.057_km2,982_km-2,,
20,Memphis,TN,"6,55,155","6,46,889",1.28%,315.055_sq_mi,"2,053_per_sq_mi",35.1035康 89.9785晃,https://www.usnscf.com/ckfinder/userfiles/files/Memphis/Memphis%20downtown.jpg
,,,,,,815.988_km2,793_km-2,,
21,Boston,MA,"6,36,479","6,17,594",3.06%,48.277_sq_mi,"12,793_per_sq_mi",42.3320康 71.0202晃,http://media-cdn.tripadvisor.com/media/photo-s/03/9b/2f/47/boston.jpg
,,,,,,125.037_km2,"4,939_km-2",,
22,Seattle,WA,"6,34,535","6,08,660",4.25%,83.943_sq_mi,"7,251_per_sq_mi",47.6205康 122.3509晃,https://depts.washington.edu/biowww/images/seattle_kerry_park.png
,,,,,,217.410_km2,"2,800_km-2",,
23,Denver,CO,"6,34,265","6,00,158",5.68%,153.000_sq_mi,"3,923_per_sq_mi",39.7618康 104.8806晃,http://halftimeinstitute.org/wp-content/uploads/2014/07/denver.jpg
,,,,,,396.269_km2,"1,515_km-2",,
24,Washington,DC,"6,32,323","6,01,723",5.09%,61.048_sq_mi,"9,856_per_sq_mi",38.9041康 77.0171晃,http://alumni.umich.edu/clubs/sites/default/files/uploads/washington_dc.jpg
,,,,,,158.115_km2,"3,806_km-2",,
25,Nashville,TN,"6,24,496","6,01,222",3.87%,475.126_sq_mi,"1,265_per_sq_mi",36.1718康 86.7850晃,http://nashville.uli.org/wp-content/uploads/sites/32/2012/10/nashvilleskyline.jpg
,,,,,,"1,230.570_km2",489_km-2,,
27,Louisville,KY,"6,05,110","5,97,337",1.30%,325.248_sq_mi,"1,837_per_sq_mi",38.1781康 85.6667晃,https://upload.wikimedia.org/wikipedia/commons/1/16/Louisville_Skyline.jpg
,,,,,,842.389_km2,709_km-2,,
28,Portland,OR,"6,03,106","5,83,776",3.31%,133.427_sq_mi,"4,375_per_sq_mi",45.5370康 122.6500晃,https://upload.wikimedia.org/wikipedia/commons/5/50/Portland_panorama3.jpg
,,,,,,345.573_km2,"1,689_km-2",,
29,Oklahoma City,OK,"5,99,199","5,79,999",3.31%,606.410_sq_mi,956_per_sq_mi,35.4671康 97.5137晃,http://www.travelok.com/images/photos/slideshows/1241199497_1241199497-iokoklahomacity652x292.jpg
,,,,,,"1,570.596_km2",369_km-2,,
30,Milwaukee,WI,"5,98,916","5,94,833",0.69%,96.122_sq_mi,"6,188_per_sq_mi",43.0633康 87.9667晃,http://choosemilwaukee.com/~/media/Images/Content%20Headers/MKE_Skyline_1%20for%20CM.ashx?mw=532
,,,,,,248.955_km2,"2,389_km-2",,
31,Las Vegas,NV,"5,96,424","5,83,756",2.17%,135.815_sq_mi,"4,298_per_sq_mi",36.2277康 115.2640晃,https://anniebananie.com/wp-content/uploads/2013/08/H1-Las-Vegas-Strip.jpg
,,,,,,351.759_km2,"1,660_km-2",,
32,Albuquerque,NM,"5,55,417","5,45,852",1.75%,187.730_sq_mi,"2,908_per_sq_mi",35.1056康 106.6474晃,http://media-cdn.tripadvisor.com/media/photo-s/01/e8/1f/24/sandia-sunset.jpg
,,,,,,486.218_km2,"1,123_km-2",,
33,Tucson,AZ,"5,24,295","5,20,116",0.80%,226.709_sq_mi,"2,294_per_sq_mi",32.1543康 110.8711晃,http://socialventurepartners.org.s3.amazonaws.com/www.socialventurepartners.org/sites/43/2013/05/Tucson-Slider.jpg
,,,,,,587.173_km2,886_km-2,,
34,Fresno,CA,"5,05,882","4,94,665",2.27%,111.957_sq_mi,"4,418_per_sq_mi",36.7827康 119.7945晃,https://upload.wikimedia.org/wikipedia/commons/4/4d/Downtown_Fresno_Night.png
,,,,,,289.967_km2,"1,706_km-2",,
35,Sacramento,CA,"4,75,516","4,66,488",1.94%,97.915_sq_mi,"4,764_per_sq_mi",38.5666康 121.4686晃,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Tower_Bridge_Sacramento_edit.jpg/220px-Tower_Bridge_Sacramento_edit.jpg
,,,,,,253.600_km2,"1,839_km-2",,
37,Kansas City,MO,"4,64,310","4,59,787",0.98%,314.950_sq_mi,"1,460_per_sq_mi",39.1252康 94.5511晃,https://upload.wikimedia.org/wikipedia/commons/9/92/Kcsky.jpg
,,,,,,815.717_km2,564_km-2,,
39,Virginia Beach,VA,"4,47,021","4,37,994",2.06%,249.016_sq_mi,"1,759_per_sq_mi",36.7793康 76.0240晃,http://www.artfestival.com/sites/default/files/cities/virginia-beach.jpg
,,,,,,644.949_km2,679_km-2,,
40,Atlanta,GA,"4,43,775","4,20,003",5.66%,133.152_sq_mi,"3,154_per_sq_mi",33.7629康 84.4227晃,http://dm.lmc.gatech.edu/digra2013/wp-content/uploads/2013/05/AtlantaSkyline.jpg
,,,,,,344.861_km2,"1,218_km-2",,
42,Raleigh,NC,"4,23,179","4,03,892",4.78%,142.903_sq_mi,"2,826_per_sq_mi",35.8302康 78.6414晃,https://upload.wikimedia.org/wikipedia/commons/0/0d/Raleigh_North_Carolina_downtown_skyline.jpg
,,,,,,370.117_km2,"1,091_km-2",,
43,Omaha,NE,"4,21,570","4,08,958",3.08%,127.088_sq_mi,"3,218_per_sq_mi",41.2647康 96.0419晃,http://www.justice.gov/usao/ne/slideshow/omaha1.jpg
,,,,,,329.157_km2,"1,242_km-2",,
44,Miami,FL,"4,13,892","3,99,457",3.61%,35.871_sq_mi,"11,136_per_sq_mi",25.7752康 80.2086晃,https://upload.wikimedia.org/wikipedia/commons/a/a5/Mouth_of_Miami_River_20100211.jpg
,,,,,,92.906_km2,"4,300_km-2",,
46,Tulsa,OK,"3,93,987","3,91,906",0.53%,196.754_sq_mi,"1,992_per_sq_mi",36.1279康 95.9023晃,https://upload.wikimedia.org/wikipedia/commons/f/fa/Tulsa_Skyline.jpg
,,,,,,509.590_km2,769_km-2,,
48,Cleveland,OH,"3,90,928","3,96,815",?1.48%,77.697_sq_mi,"5,107_per_sq_mi",41.4781康 81.6795晃,"https://upload.wikimedia.org/wikipedia/commons/1/17/Bridge_in_Cleveland,_Ohio.jpg"
,,,,,,201.234_km2,"1,972_km-2",,
,,,,,,,,,
,,,,,,,,,
51,New Orleans,LA,"3,69,250","3,43,829",7.39%,169.423_sq_mi,"2,029_per_sq_mi",30.0686康 89.9390晃,https://upload.wikimedia.org/wikipedia/commons/e/ef/Cafe_du_Monde_New_Orleans.jpg
,,,,,,438.803_km2,784_km-2,,
53,Tampa,FL,"3,47,645","3,35,709",3.56%,113.409_sq_mi,"2,960_per_sq_mi",27.9701康 82.4797晃,http://www.tampagov.net/sites/default/files/front/slideshow/TampaGov-Main-Image-16.jpg
,,,,,,293.728_km2,"1,143_km-2",,
58,St. Louis,MO,"3,18,172","3,19,294",?0.35%,61.909_sq_mi,"5,157_per_sq_mi",38.6357康 90.2446晃,https://upload.wikimedia.org/wikipedia/commons/d/de/St_Louis_night_expblend.jpg
,,,,,,160.343_km2,"1,991_km-2",,
61,Pittsburgh,PA,"3,06,211","3,05,704",0.17%,55.367_sq_mi,"5,521_per_sq_mi",40.4398康 79.9766晃,https://upload.wikimedia.org/wikipedia/commons/a/a8/PittSkyline082904.jpg
,,,,,,143.400_km2,"2,132_km-2",,
65,Cincinnati,OH,"2,96,550","2,96,943",?0.13%,77.942_sq_mi,"3,810_per_sq_mi",39.1399康 84.5064晃,https://upload.wikimedia.org/wikipedia/commons/3/30/Cincinnati_oh_skyline.jpg
,,,,,,201.870_km2,"1,471_km-2",,
66,Saint Paul,MN,"2,90,770","2,85,068",2.00%,51.979_sq_mi,"5,484_per_sq_mi",44.9489康 93.1039晃,http://streets.mn/wp-content/uploads/2014/02/StPaul03.jpg
,,,,,,134.624_km2,"2,118_km-2",,
73,Buffalo,NY,"2,59,384","2,61,310",?0.74%,40.384_sq_mi,"6,471_per_sq_mi",42.8925康 78.8597晃,http://www.ag.ny.gov/sites/default/files/images/tour/BuffaloSkyline.jpg
,,,,,,104.594_km2,"2,498_km-2",,
77,Orlando,FL,"2,49,562","2,38,300",4.73%,102.395_sq_mi,"2,327_per_sq_mi",28.4159康 81.2988晃,https://upload.wikimedia.org/wikipedia/commons/8/82/OrlandoNightSkyline.jpg
,,,,,,265.203_km2,899_km-2,,
82,Madison,WI,"2,40,323","2,33,209",3.05%,76.789_sq_mi,"3,037_per_sq_mi",43.0878康 89.4301晃,http://miraclesone.org/wordpress/wp-content/uploads/2010/08/farm6.staticflickr.com_5121_5232011862_6590dfaefc_z.jpg
,,,,,,198.882_km2,"1,173_km-2",,
83,Durham,NC,"2,39,358","2,28,330",4.83%,107.370_sq_mi,"2,127_per_sq_mi",35.9810康 78.9056晃,http://svcdn.simpleviewinc.com/v3/cache/www_durham-nc_com/E7618173336423CE6D1A5DDA868F718C.jpg
,,,,,,278.088_km2,821_km-2,,
89,Reno,NV,"2,31,027","2,25,221",2.58%,103.009_sq_mi,"2,186_per_sq_mi",39.4745康 119.7765晃,https://upload.wikimedia.org/wikipedia/commons/6/64/Reno_skyline.JPG
,,,,,,266.793_km2,844_km-2,,
90,Baton Rouge,LA,"2,30,058","2,29,493",0.25%,76.947_sq_mi,"2,982_per_sq_mi",30.4485康 91.1259晃,https://upload.wikimedia.org/wikipedia/commons/b/b5/Downtown_Baton_Rouge.jpg
,,,,,,199.292_km2,"1,152_km-2",,
99,Boise,ID,"2,12,303","2,05,671",3.22%,79.364_sq_mi,"2,592_per_sq_mi",43.5985康 116.2311晃,http://www.simplemovinglabor.com/sites/default/files/boise-idaho.jpg
,,,,,,205.551_km2,"1,001_km-2",,
100,Birmingham,AL,"2,12,038","2,12,237",?0.09%,146.067_sq_mi,"1,453_per_sq_mi",33.5274康 86.7990晃,http://www.hwnn.com/wp-content/uploads/2013/12/Birmingham_1920.jpg
,,,,,,378.311_km2,561_km-2,,
101,Rochester,NY,"2,10,532","2,10,565",?0.02%,35.781_sq_mi,"5,885_per_sq_mi",43.1699康 77.6169晃,http://www.totalmortgage.com/blog/wp-content/uploads/2015/09/Rochesterny.jpg
,,,,,,92.672_km2,"2,272_km-2",,
104,Des Moines,IA,"2,06,688","2,03,433",1.60%,80.869_sq_mi,"2,516_per_sq_mi",41.5739康 93.6167晃,https://www.dmgov.org/SiteCollectionImages/MainWindow/WesternGatewayPark.jpg
,,,,,,209.451_km2,971_km-2,,
120,Mobile,AL,"1,94,822","1,95,111",?0.15%,139.109_sq_mi,"1,403_per_sq_mi",30.6684康 88.1002晃,http://www.southalabama.edu/colleges/scesp/cce/images/MobileAL.jpg
,,,,,,360.290_km2,542_km-2,,
124,Salt Lake City,UT,"1,89,314","1,86,440",1.54%,111.110_sq_mi,"1,678_per_sq_mi",40.7785康 111.9314晃,http://nationalwood.com/wp-content/uploads/2013/08/salt-lake-city-downtown-2.jpg
,,,,,,287.773_km2,648_km-2,,
138,Chattanooga,TN,"1,71,279","1,67,674",2.15%,137.152_sq_mi,"1,223_per_sq_mi",35.0665康 85.2471晃,http://www.ironman.com/~/media/f18f962c396942a7a88b4abe19f95b21/chattanooga%20main.jpg
,,,,,,355.222_km2,472_km-2,,
145,Vancouver,WA,"1,65,489","1,61,791",2.29%,46.456_sq_mi,"3,483_per_sq_mi",45.6372康 122.5965晃,"http://www.careeroverview.com/media/photos/WA/Vancouver,_Washington-Vancouverwaskyline_004.jpg"
,,,,,,120.322_km2,"1,345_km-2",,
149,Sioux Falls,SD,"1,59,908","1,53,888",3.91%,72.964_sq_mi,"2,109_per_sq_mi",43.5383康 96.7320晃,http://southdakotapatent.com/wp-content/uploads/2013/02/sioux-falls-404x256.jpg
,,,,,,188.977_km2,814_km-2,,
180,Savannah,GA,"1,42,022","1,36,286",4.21%,103.151_sq_mi,"1,321_per_sq_mi",32.0025康 81.1536晃,http://cdn.aarp.net/content/dam/travel/destination-images/georgia/savannah/1400-savannah-georgia-night-view.imgcache.rev1409257977517.web.1400.720.jpg
,,,,,,267.160_km2,510_km-2,,
205,Charleston,SC,"1,25,583","1,20,083",4.58%,108.979_sq_mi,"1,102_per_sq_mi",32.8179康 79.9589晃,https://upload.wikimedia.org/wikipedia/commons/6/64/BroadStreetCharleston.jpg
,,,,,,282.253_km2,425_km-2,,
243,Wilmington,NC,"1,09,922","1,06,476",3.24%,51.493_sq_mi,"2,068_per_sq_mi",34.2092康 77.8858晃,"https://upload.wikimedia.org/wikipedia/commons/7/76/Wilmington,_North_Carolina.jpg"
,,,,,,133.366_km2,798_km-2,,
245,Fargo,ND,"1,09,779","1,05,549",4.01%,48.821_sq_mi,"2,162_per_sq_mi",46.8652康 96.8290晃,http://fargoconnect.com/images/aerial-fargo.jpg
,,,,,,126.446_km2,835_km-2,,
258,Billings,MT,"1,06,954","1,04,170",2.67%,43.413_sq_mi,"2,399_per_sq_mi",45.7895康 108.5499晃,http://ci.billings.mt.us/images/pages/N1/skyline.jpg
,,,,,,112.440_km2,926_km-2,,
289,Charleston,WV,,,,,,38.3472� N 81.6333� W,"http://charlestonwv.com/images/News-Images/Charleston,WV%20-Steve%20Shaluta.jpg"
,,,,,,,,,
290,Cheyenne,WY,,,,,,41.1456� N 104.8019� W,https://upload.wikimedia.org/wikipedia/commons/9/9a/CheyenneWY_downtown.jpg
,,,,,,,,,
292,Jackson,WY,,,,,,43.4753� N 110.7692� W,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Jackson_from_snowking.jpg/250px-Jackson_from_snowking.jpg
,,,,,,,,,
293,Rapid City,SD,,,,,,44.0760� N 103.2280� W,https://markp427.files.wordpress.com/2011/06/p1010265.jpg
,,,,,,,,,
294,Asheville,NC,,,,,,35.5800� N 82.5558� W,http://cdn.theatlantic.com/assets/media/img/mt/2015/04/AshevilleScene/lead_960.jpg?1430308869
